EmployeeNumber,Age,Gender,MaritalStatus,Education,EducationField,Department,JobRole,JobLevel,MonthlyIncome,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,NumCompaniesWorked,OverTime,DistanceFromHome,BusinessTravel,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,RelationshipSatisfaction,Attrition
32,32,Male,Single,3,Technical Degree,Sales,Sales Representative,1,3375,0,0,0,2,Yes,22,Travel_Rarely,2,2,4,4,0
33,28,Male,Divorced,2,Marketing,Human Resources,Human Resources,4,12238,24,0,2,1,No,13,Travel_Frequently,4,2,3,4,1
34,56,Male,Married,2,Life Sciences,Research & Development,Manufacturing Director,1,2887,1,0,1,1,Yes,18,Travel_Frequently,4,1,3,2,0
35,57,Male,Married,2,Medical,Research & Development,Research Scientist,1,3414,3,1,3,3,Yes,2,Travel_Rarely,3,4,2,2,1
36,47,Male,Single,5,Life Sciences,Sales,Sales Executive,1,3129,10,1,1,2,No,13,Travel_Rarely,4,4,4,4,0
37,37,Male,Divorced,2,Human Resources,Sales,Sales Executive,1,2099,1,0,3,1,No,14,Travel_Frequently,4,4,3,4,0
38,30,Male,Single,3,Medical,Human Resources,Human Resources,1,2526,3,1,5,2,No,10,Travel_Rarely,4,4,2,4,0
39,45,Female,Married,2,Life Sciences,Sales,Sales Representative,2,6813,0,1,0,3,No,4,Travel_Rarely,3,3,4,2,0
40,40,Female,Divorced,3,Medical,Sales,Sales Representative,3,7969,2,0,1,2,No,15,Travel_Rarely,4,2,3,3,0
41,30,Female,Married,2,Life Sciences,Research & Development,Research Scientist,2,3951,0,0,1,1,No,8,Travel_Frequently,3,4,2,3,0
42,41,Female,Single,3,Other,Sales,Sales Representative,2,4502,2,3,9,0,No,15,Travel_Rarely,1,3,3,4,0
43,26,Female,Married,3,Life Sciences,Research & Development,Healthcare Representative,1,1371,2,1,1,3,Yes,14,Non-Travel,4,4,4,4,0
44,54,Male,Divorced,3,Medical,Research & Development,Research Scientist,2,6336,24,0,1,4,Yes,29,Travel_Frequently,4,4,2,3,0
45,35,Male,Married,4,Life Sciences,Sales,Sales Executive,1,3311,26,0,3,2,No,27,Travel_Rarely,4,4,3,2,0
46,44,Male,Divorced,1,Marketing,Sales,Sales Representative,2,3109,0,0,1,0,Yes,21,Travel_Rarely,1,1,3,4,1
47,37,Female,Single,3,Marketing,Sales,Sales Representative,1,3354,6,0,9,2,Yes,9,Non-Travel,1,2,3,3,0
48,41,Female,Married,1,Medical,Research & Development,Research Scientist,1,2223,0,2,6,4,Yes,20,Travel_Rarely,4,3,3,4,0
49,42,Male,Married,2,Medical,Research & Development,Research Scientist,1,1225,0,0,2,1,No,3,Travel_Rarely,1,4,3,3,0
50,33,Female,Divorced,3,Technical Degree,Sales,Sales Representative,3,9011,0,0,3,0,No,26,Travel_Rarely,4,4,1,4,0
51,58,Male,Single,2,Life Sciences,Sales,Manager,1,1030,16,0,0,2,No,15,Travel_Rarely,4,3,3,4,0
52,47,Female,Divorced,3,Life Sciences,Research & Development,Laboratory Technician,2,3613,14,2,3,4,Yes,24,Travel_Rarely,4,2,1,2,1
53,56,Male,Married,5,Life Sciences,Research & Development,Manufacturing Director,1,2794,1,0,3,0,No,17,Travel_Rarely,1,4,3,4,0
54,53,Male,Married,1,Human Resources,Sales,Sales Executive,2,3098,0,0,1,2,Yes,25,Travel_Rarely,4,4,2,1,0
55,43,Male,Single,3,Life Sciences,Sales,Manager,3,11458,1,1,0,2,No,16,Travel_Rarely,4,3,3,4,0
56,54,Male,Divorced,2,Marketing,Sales,Sales Executive,1,1810,3,0,7,2,No,4,Travel_Rarely,3,2,3,4,1
57,29,Male,Single,1,Medical,Research & Development,Laboratory Technician,2,4820,4,0,1,2,No,11,Non-Travel,3,4,3,2,0
58,33,Male,Single,1,Life Sciences,Human Resources,Human Resources,3,9337,1,0,3,2,No,25,Travel_Rarely,3,3,3,3,0
59,28,Female,Single,4,Life Sciences,Sales,Sales Representative,2,5699,7,2,0,0,No,8,Travel_Rarely,1,4,3,3,1
60,37,Male,Divorced,4,Life Sciences,Research & Development,Laboratory Technician,2,3813,1,5,1,1,No,3,Travel_Rarely,4,2,3,4,0
61,39,Male,Married,4,Life Sciences,Sales,Sales Representative,2,4821,12,0,5,2,No,19,Travel_Rarely,4,2,3,4,0
62,36,Female,Divorced,5,Life Sciences,Sales,Sales Representative,2,6421,5,0,1,0,No,14,Travel_Rarely,4,4,2,3,0
63,48,Female,Single,2,Life Sciences,Sales,Sales Executive,1,2019,2,0,2,2,No,9,Travel_Rarely,3,1,2,4,1
64,38,Male,Married,2,Technical Degree,Research & Development,Laboratory Technician,2,6025,7,2,0,2,No,3,Non-Travel,4,3,3,2,0
65,36,Male,Married,3,Other,Research & Development,Healthcare Representative,1,3135,8,1,1,1,No,4,Travel_Rarely,2,3,4,2,0
66,42,Male,Divorced,3,Life Sciences,Research & Development,Manufacturing Director,1,2086,1,2,7,2,No,25,Travel_Rarely,4,4,2,3,0
67,31,Male,Divorced,2,Life Sciences,Sales,Sales Representative,2,3921,2,1,2,2,Yes,28,Travel_Rarely,3,2,1,4,0
68,47,Female,Single,2,Life Sciences,Sales,Sales Representative,1,2410,13,3,6,1,No,4,Travel_Rarely,4,2,2,2,1
69,29,Male,Married,3,Medical,Sales,Sales Executive,1,2482,0,3,6,1,No,11,Travel_Rarely,4,4,3,4,0
70,59,Male,Single,3,Marketing,Research & Development,Laboratory Technician,2,5633,0,2,8,5,No,19,Travel_Rarely,4,3,3,3,0
71,47,Female,Married,1,Life Sciences,Sales,Sales Executive,3,8979,3,0,6,1,Yes,16,Travel_Rarely,4,1,3,4,1
72,33,Male,Single,3,Life Sciences,Research & Development,Healthcare Representative,3,11755,8,0,0,2,No,23,Travel_Frequently,4,2,2,1,0
73,19,Male,Single,3,Marketing,Sales,Manager,4,14340,7,1,8,0,No,22,Travel_Rarely,1,4,2,3,0
74,48,Male,Married,3,Medical,Sales,Sales Representative,3,6796,12,1,0,0,No,17,Travel_Rarely,4,2,3,3,0
75,45,Female,Married,2,Life Sciences,Research & Development,Laboratory Technician,1,2957,3,1,0,0,No,10,Travel_Rarely,3,3,3,4,0
76,46,Male,Married,3,Medical,Sales,Sales Executive,1,2012,0,0,0,3,No,24,Travel_Frequently,3,3,3,4,0
77,47,Female,Married,1,Life Sciences,Sales,Sales Executive,2,6020,4,1,1,1,No,17,Travel_Rarely,1,4,2,4,0
78,29,Male,Married,2,Life Sciences,Sales,Sales Representative,1,1345,7,0,2,1,Yes,16,Travel_Rarely,4,4,4,4,0
79,38,Male,Single,3,Marketing,Research & Development,Laboratory Technician,2,3723,0,1,1,3,No,20,Travel_Rarely,2,3,3,4,0
80,30,Female,Divorced,3,Marketing,Research & Development,Manager,2,5948,0,0,0,0,No,22,Travel_Rarely,3,1,3,2,0
81,51,Female,Single,2,Life Sciences,Sales,Sales Representative,1,2101,0,0,1,1,No,6,Travel_Rarely,4,4,3,4,0
82,44,Female,Married,3,Technical Degree,Research & Development,Manager,3,11484,4,0,1,1,No,7,Non-Travel,4,3,2,4,0
83,38,Female,Married,3,Life Sciences,Sales,Sales Representative,2,4037,10,3,4,1,No,14,Travel_Rarely,4,4,3,3,0
84,28,Female,Married,3,Marketing,Sales,Sales Representative,1,1135,5,1,0,2,No,11,Travel_Rarely,3,3,3,4,0
85,37,Male,Single,3,Medical,Sales,Sales Representative,5,15791,20,0,0,1,No,12,Travel_Rarely,3,4,3,4,0
86,37,Male,Married,3,Technical Degree,Research & Development,Research Scientist,2,3078,0,0,0,1,No,14,Travel_Rarely,2,1,3,4,1
87,46,Female,Divorced,3,Technical Degree,Sales,Sales Representative,1,2778,11,1,1,4,No,5,Non-Travel,3,4,2,4,0
88,44,Male,Married,1,Life Sciences,Sales,Sales Representative,2,3704,8,0,2,4,No,5,Travel_Frequently,1,2,3,2,1
89,52,Female,Married,2,Technical Degree,Sales,Sales Representative,2,3981,1,6,1,4,No,20,Travel_Rarely,4,2,3,3,1
90,40,Female,Married,2,Marketing,Sales,Manager,2,4441,18,1,1,4,Yes,22,Travel_Rarely,3,1,3,1,0
91,30,Male,Single,3,Marketing,Research & Development,Manufacturing Director,2,4265,1,0,1,2,No,23,Travel_Rarely,1,1,2,2,0
92,45,Male,Married,3,Life Sciences,Sales,Sales Representative,2,4074,11,1,1,2,No,26,Travel_Frequently,2,1,1,4,1
93,46,Female,Married,2,Marketing,Sales,Sales Representative,1,1743,10,0,10,2,Yes,15,Travel_Rarely,3,2,2,2,0
94,42,Male,Single,1,Marketing,Research & Development,Laboratory Technician,3,8431,7,2,0,3,No,26,Travel_Rarely,3,4,2,3,0
95,47,Female,Single,3,Life Sciences,Sales,Sales Executive,3,6374,4,0,5,2,No,1,Travel_Rarely,1,2,3,3,0
96,41,Male,Single,2,Other,Research & Development,Research Scientist,1,2753,0,6,3,0,No,25,Travel_Rarely,4,4,2,4,0
97,41,Female,Married,3,Life Sciences,Research & Development,Research Scientist,1,3253,3,1,0,3,No,24,Travel_Rarely,2,1,3,2,0
98,40,Male,Divorced,1,Life Sciences,Sales,Sales Representative,4,14897,2,2,14,3,No,23,Travel_Rarely,1,3,2,2,0
99,24,Female,Single,3,Medical,Research & Development,Research Scientist,3,8536,7,0,4,4,No,9,Non-Travel,1,3,3,3,0
100,30,Male,Married,4,Medical,Sales,Sales Representative,3,7991,7,0,3,0,No,3,Travel_Rarely,3,4,3,2,0
101,26,Male,Single,2,Medical,Research & Development,Research Scientist,3,8928,12,2,1,1,No,26,Travel_Rarely,1,4,4,4,1
102,44,Male,Divorced,3,Life Sciences,Sales,Sales Executive,2,4334,0,1,2,1,No,4,Non-Travel,1,3,4,4,0
103,37,Female,Single,1,Other,Sales,Sales Representative,2,6446,8,0,0,2,No,16,Travel_Rarely,3,4,4,3,0
104,41,Female,Married,3,Life Sciences,Research & Development,Healthcare Representative,2,5679,13,0,0,0,No,7,Travel_Rarely,3,2,3,4,0
105,54,Male,Married,3,Life Sciences,Research & Development,Laboratory Technician,1,1591,7,0,5,1,Yes,22,Travel_Rarely,1,3,3,2,0
106,35,Male,Married,2,Life Sciences,Human Resources,Human Resources,2,4065,0,1,6,0,Yes,14,Non-Travel,2,1,3,4,1
107,39,Male,Married,3,Medical,Research & Development,Research Scientist,2,3532,0,0,0,1,No,16,Travel_Rarely,3,2,4,2,0
108,46,Female,Married,4,Technical Degree,Sales,Sales Executive,2,5569,0,0,4,3,Yes,29,Travel_Rarely,1,2,1,4,0
109,34,Female,Married,2,Medical,Sales,Sales Executive,2,5872,4,0,4,4,No,18,Travel_Rarely,3,4,3,3,0
110,29,Male,Single,1,Marketing,Sales,Manager,2,4176,4,0,0,0,No,16,Travel_Rarely,1,3,2,1,0
111,36,Male,Single,4,Life Sciences,Research & Development,Research Scientist,1,2335,21,0,1,2,Yes,16,Travel_Rarely,1,4,3,2,0
112,32,Male,Married,3,Medical,Sales,Sales Executive,1,2317,2,4,1,0,Yes,2,Travel_Rarely,3,3,3,3,0
113,55,Male,Single,4,Medical,Research & Development,Laboratory Technician,1,1597,2,0,4,0,No,10,Travel_Rarely,2,1,3,4,0
114,47,Male,Single,3,Medical,Sales,Sales Representative,1,1112,4,3,5,3,No,7,Travel_Frequently,1,4,3,1,0
115,44,Female,Married,3,Life Sciences,Sales,Sales Representative,4,14772,8,0,0,3,No,25,Travel_Frequently,3,4,4,3,0
116,51,Male,Divorced,2,Medical,Sales,Sales Representative,1,2135,13,0,2,3,No,27,Travel_Rarely,4,4,3,4,0
117,47,Female,Married,3,Medical,Research & Development,Laboratory Technician,1,2198,8,0,4,1,Yes,15,Non-Travel,4,3,3,3,0
118,33,Male,Single,4,Marketing,Research & Development,Healthcare Representative,2,4845,2,1,4,4,Yes,28,Travel_Rarely,4,4,3,4,0
119,53,Male,Single,3,Medical,Research & Development,Research Scientist,2,4325,5,1,0,0,No,9,Non-Travel,4,4,3,2,0
120,42,Female,Divorced,2,Life Sciences,Sales,Sales Executive,1,2987,9,0,2,1,No,7,Non-Travel,4,1,3,3,0
121,47,Female,Single,2,Medical,Research & Development,Research Scientist,2,4539,3,0,5,0,No,27,Travel_Rarely,4,1,2,4,1
122,53,Female,Single,2,Life Sciences,Sales,Sales Representative,2,3733,1,3,1,3,No,24,Travel_Frequently,3,1,3,3,0
123,37,Male,Married,2,Technical Degree,Research & Development,Healthcare Representative,1,2985,0,5,1,1,No,16,Travel_Frequently,2,2,3,3,0
124,30,Male,Married,2,Medical,Research & Development,Manager,1,3365,0,0,4,0,Yes,26,Travel_Rarely,2,3,3,4,0
125,34,Female,Married,3,Life Sciences,Sales,Sales Executive,3,11091,6,1,0,2,Yes,3,Travel_Rarely,4,4,3,2,0
126,40,Male,Single,3,Other,Research & Development,Healthcare Representative,2,5260,0,0,5,0,No,17,Non-Travel,4,3,3,4,0
127,48,Male,Single,2,Medical,Research & Development,Healthcare Representative,2,3252,1,0,1,0,No,23,Travel_Rarely,3,4,3,4,0
128,51,Male,Divorced,3,Life Sciences,Sales,Manager,1,1123,1,0,0,0,Yes,8,Non-Travel,4,4,3,1,0
129,19,Male,Single,1,Medical,Research & Development,Laboratory Technician,1,2236,4,0,0,0,No,2,Travel_Rarely,3,2,2,4,0
130,41,Female,Married,1,Life Sciences,Sales,Sales Representative,2,3623,2,2,0,2,No,25,Non-Travel,3,1,2,2,0
131,39,Male,Married,2,Marketing,Sales,Sales Executive,1,2539,5,0,0,2,No,20,Travel_Frequently,3,3,1,3,0
132,34,Male,Married,3,Marketing,Sales,Sales Representative,1,2655,0,1,3,1,Yes,26,Travel_Rarely,3,4,2,4,0
133,30,Male,Single,2,Other,Sales,Sales Executive,2,4266,0,3,0,1,No,27,Travel_Rarely,2,4,2,4,0
134,38,Male,Single,2,Medical,Research & Development,Research Scientist,1,2160,3,0,8,3,No,25,Travel_Rarely,4,2,1,4,0
135,56,Male,Married,2,Medical,Sales,Sales Executive,2,5294,2,0,2,2,Yes,29,Travel_Rarely,4,4,2,4,0
136,37,Male,Divorced,3,Marketing,Research & Development,Research Scientist,3,6440,1,2,1,2,No,3,Travel_Frequently,4,2,3,3,0
137,41,Male,Divorced,1,Life Sciences,Sales,Sales Representative,1,3092,0,0,1,1,No,8,Travel_Rarely,2,4,2,3,0
138,45,Female,Single,3,Medical,Human Resources,Manager,3,8705,11,0,3,1,No,27,Travel_Rarely,4,3,3,3,0
139,38,Male,Single,3,Medical,Research & Development,Research Scientist,1,2016,5,0,1,6,No,2,Travel_Rarely,2,1,4,2,0
140,58,Male,Divorced,3,Life Sciences,Research & Development,Healthcare Representative,3,6553,0,0,0,2,No,19,Travel_Rarely,2,1,3,3,0
141,57,Female,Married,4,Life Sciences,Sales,Sales Executive,1,1808,0,3,6,0,No,17,Travel_Frequently,4,1,3,4,0
142,35,Female,Divorced,1,Marketing,Sales,Sales Representative,1,1970,18,1,1,1,No,5,Travel_Rarely,2,2,4,3,1
143,41,Male,Single,1,Marketing,Sales,Sales Representative,2,4112,5,0,0,1,No,20,Travel_Rarely,1,4,3,4,0
144,37,Male,Married,4,Life Sciences,Research & Development,Laboratory Technician,2,5777,2,1,2,1,No,29,Travel_Rarely,3,1,2,4,1
145,36,Male,Married,3,Life Sciences,Research & Development,Research Scientist,3,7833,6,4,3,5,Yes,17,Travel_Rarely,4,3,4,1,0
146,27,Female,Married,3,Life Sciences,Sales,Sales Representative,1,2314,7,0,0,4,No,10,Travel_Rarely,2,2,4,3,0
147,43,Female,Married,3,Technical Degree,Sales,Sales Representative,1,2274,7,0,4,0,Yes,9,Non-Travel,3,4,3,3,0
148,41,Female,Single,3,Life Sciences,Research & Development,Manufacturing Director,2,6112,3,4,3,1,Yes,22,Travel_Rarely,4,4,3,3,0
149,28,Male,Married,4,Marketing,Sales,Sales Representative,1,1098,2,4,3,3,No,6,Travel_Frequently,4,4,3,4,0
150,36,Female,Single,5,Life Sciences,Research & Development,Laboratory Technician,1,2479,0,0,1,1,No,11,Travel_Rarely,4,3,2,3,0
151,54,Male,Married,3,Medical,Research & Development,Laboratory Technician,2,4614,13,0,9,2,Yes,2,Non-Travel,3,2,2,4,0
152,34,Male,Divorced,2,Life Sciences,Research & Development,Research Scientist,2,3300,4,0,0,2,No,23,Travel_Frequently,1,4,3,4,0
153,31,Male,Married,4,Marketing,Sales,Sales Executive,3,7222,1,0,2,2,No,12,Travel_Rarely,2,1,4,3,1
154,41,Female,Divorced,1,Life Sciences,Sales,Sales Executive,4,16778,12,1,1,3,No,12,Travel_Rarely,3,2,1,4,0
155,59,Male,Single,2,Medical,Research & Development,Research Scientist,1,1487,12,0,4,3,No,16,Travel_Rarely,4,1,3,1,0
156,34,Female,Married,4,Life Sciences,Human Resources,Human Resources,2,6177,22,0,0,6,Yes,25,Travel_Rarely,1,3,1,1,1
157,45,Male,Divorced,2,Marketing,Sales,Sales Executive,1,2424,10,0,0,1,Yes,22,Travel_Rarely,2,4,3,1,0
158,46,Male,Single,2,Technical Degree,Sales,Sales Representative,2,6776,30,4,4,4,No,27,Travel_Rarely,4,3,3,3,0
159,34,Male,Single,1,Life Sciences,Research & Development,Research Scientist,2,4004,1,0,1,0,Yes,24,Travel_Rarely,4,3,3,2,0
160,46,Male,Married,4,Technical Degree,Human Resources,Human Resources,5,15476,9,0,1,1,Yes,12,Travel_Rarely,4,1,1,4,0
161,38,Female,Single,3,Medical,Research & Development,Manufacturing Director,2,4145,8,9,2,0,No,21,Travel_Rarely,4,4,3,3,0
162,44,Male,Married,3,Life Sciences,Human Resources,Human Resources,4,16431,1,1,3,2,No,18,Travel_Rarely,4,3,3,3,0
163,44,Female,Divorced,2,Medical,Sales,Sales Representative,3,7135,0,0,0,0,No,13,Travel_Rarely,4,3,2,2,0
164,42,Female,Married,3,Life Sciences,Sales,Sales Representative,3,8856,19,0,0,4,Yes,15,Travel_Rarely,3,3,2,2,0
165,29,Female,Single,3,Marketing,Research & Development,Laboratory Technician,2,4705,1,0,9,2,No,16,Travel_Rarely,4,2,3,2,0
166,49,Male,Married,2,Marketing,Research & Development,Manufacturing Director,1,1517,10,1,2,0,No,4,Travel_Rarely,3,1,3,4,0
167,37,Male,Married,2,Life Sciences,Sales,Sales Representative,1,2220,0,0,1,3,Yes,12,Travel_Rarely,2,3,2,3,0
168,33,Male,Single,2,Medical,Sales,Manager,1,1229,0,0,4,4,No,17,Non-Travel,2,2,3,3,0
169,28,Female,Married,5,Marketing,Research & Development,Healthcare Representative,1,2191,3,0,2,2,Yes,1,Travel_Rarely,4,2,4,3,0
170,43,Female,Married,3,Technical Degree,Sales,Sales Representative,2,6880,1,0,0,0,No,22,Non-Travel,4,4,1,4,0
171,45,Male,Married,4,Medical,Sales,Sales Executive,2,6848,5,1,0,4,No,18,Non-Travel,1,3,3,1,0
172,22,Female,Single,2,Other,Research & Development,Laboratory Technician,2,5055,4,0,1,3,No,22,Travel_Rarely,1,3,2,4,0
173,41,Male,Married,3,Medical,Research & Development,Research Scientist,4,14243,0,0,5,1,Yes,16,Travel_Rarely,4,4,1,3,1
174,34,Female,Single,3,Life Sciences,Research & Development,Research Scientist,3,7977,0,4,0,1,No,1,Non-Travel,4,4,2,3,0
175,44,Male,Single,3,Marketing,Sales,Sales Executive,1,2383,2,1,0,1,No,27,Travel_Frequently,2,1,3,2,0
176,32,Female,Divorced,4,Medical,Research & Development,Research Scientist,1,3242,1,0,6,4,No,10,Travel_Frequently,3,4,3,3,1
177,45,Male,Married,2,Medical,Research & Development,Laboratory Technician,1,3401,7,1,0,1,Yes,19,Travel_Rarely,4,3,3,2,0
178,39,Female,Single,1,Medical,Research & Development,Manager,1,2887,2,0,2,0,Yes,16,Travel_Rarely,2,1,3,4,0
179,55,Female,Single,3,Marketing,Research & Development,Laboratory Technician,2,4072,0,2,0,4,No,14,Travel_Rarely,4,2,3,3,0
180,31,Female,Single,3,Marketing,Sales,Manager,2,3463,3,2,2,0,No,25,Travel_Rarely,1,3,2,4,0
181,38,Male,Single,3,Life Sciences,Sales,Manager,2,5403,0,1,1,5,Yes,2,Travel_Rarely,1,4,3,3,0
182,30,Male,Single,2,Life Sciences,Sales,Sales Representative,3,6973,0,1,0,1,No,24,Travel_Frequently,2,2,3,2,1
183,55,Male,Single,3,Medical,Sales,Sales Representative,2,4181,1,0,2,2,No,6,Travel_Frequently,2,3,3,3,0
184,52,Male,Married,2,Medical,Research & Development,Research Scientist,1,1065,9,1,3,0,No,28,Travel_Frequently,1,4,3,1,0
185,35,Male,Married,2,Life Sciences,Research & Development,Research Scientist,2,4996,12,0,3,5,No,22,Travel_Rarely,1,3,3,4,0
186,44,Female,Married,3,Marketing,Research & Development,Research Scientist,1,1570,8,0,3,3,No,23,Travel_Rarely,4,4,3,4,0
187,48,Male,Married,3,Medical,Research & Development,Laboratory Technician,1,1307,2,4,2,5,Yes,5,Travel_Rarely,1,4,2,4,0
188,42,Male,Single,2,Life Sciences,Sales,Sales Representative,1,1782,1,1,2,2,Yes,12,Travel_Rarely,4,3,3,3,0
189,42,Male,Divorced,2,Life Sciences,Sales,Sales Representative,2,3120,3,5,3,0,No,27,Travel_Rarely,2,4,4,3,0
190,34,Male,Divorced,2,Life Sciences,Sales,Sales Representative,1,1765,6,0,3,1,No,4,Travel_Rarely,4,1,1,4,1
191,29,Female,Divorced,2,Technical Degree,Sales,Sales Executive,1,1772,25,0,3,1,No,22,Travel_Rarely,2,1,3,2,0
192,53,Male,Divorced,3,Life Sciences,Sales,Sales Representative,2,6718,0,0,2,2,No,24,Travel_Rarely,2,2,3,4,0
193,53,Female,Divorced,4,Life Sciences,Research & Development,Laboratory Technician,2,6857,0,1,0,5,No,4,Travel_Rarely,3,3,3,3,0
194,44,Male,Married,2,Medical,Human Resources,Human Resources,1,3143,5,0,0,1,Yes,5,Travel_Rarely,3,3,2,4,0
195,38,Female,Single,3,Life Sciences,Sales,Sales Executive,1,1986,8,0,0,3,No,7,Non-Travel,4,3,4,4,0
196,38,Female,Married,4,Life Sciences,Sales,Sales Executive,3,6539,9,0,7,6,No,6,Non-Travel,4,1,3,4,0
197,46,Male,Married,3,Life Sciences,Research & Development,Laboratory Technician,1,3049,5,2,4,0,Yes,13,Travel_Rarely,4,1,2,3,0
198,53,Female,Married,2,Medical,Sales,Sales Representative,3,9283,15,0,2,4,No,4,Travel_Rarely,3,4,1,2,0
199,52,Male,Married,4,Medical,Research & Development,Laboratory Technician,2,3579,3,2,0,1,No,13,Travel_Rarely,4,4,3,3,0
200,47,Female,Single,2,Life Sciences,Research & Development,Research Scientist,1,2663,12,0,0,3,No,4,Non-Travel,3,3,2,4,0
201,44,Male,Married,2,Medical,Human Resources,Human Resources,1,3380,17,0,6,1,Yes,10,Travel_Rarely,4,3,2,4,0
202,29,Female,Divorced,1,Other,Sales,Sales Representative,1,2047,9,0,6,1,Yes,20,Travel_Rarely,4,3,3,1,0
203,32,Female,Married,3,Life Sciences,Research & Development,Research Scientist,1,1505,1,5,0,0,No,1,Travel_Rarely,1,2,3,3,0
204,53,Female,Married,1,Life Sciences,Research & Development,Laboratory Technician,1,2910,1,0,4,6,No,21,Travel_Frequently,2,3,3,2,0
205,43,Female,Single,2,Life Sciences,Research & Development,Research Scientist,2,3732,3,0,1,3,Yes,8,Travel_Rarely,3,4,3,4,0
